wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
B5	A0	800.0	1.7	14.918	14.269	13.336	12.888	15.557	14.62	12.862	11.829	2.065	-0.091	-	0.631	
B5	A0	900.0	1.7	14.918	14.269	13.336	12.888	15.813	14.876	13.118	12.085	2.065	-0.091	-	0.631	
A0	B5	800.0	1.7	14.918	14.269	13.336	12.888	15.557	14.62	12.862	11.829	2.065	-0.091	-	0.631	
A0	B5	900.0	1.7	14.918	14.269	13.336	12.888	15.813	14.876	13.118	12.085	2.065	-0.091	-	0.631	
A0	K5	1200.0	1.0	14.918	14.269	13.336	12.888	15.601	15.206	13.92	13.212	1.614	-0.148	-	0.632	
K5	A0	1200.0	1.0	14.918	14.269	13.336	12.888	15.601	15.206	13.92	13.212	1.614	-0.148	-	0.632	
B5	B8	800.0	1.7	14.918	14.269	13.336	12.888	15.4	14.457	12.699	11.667	2.071	-0.101	-	0.632	
B5	B8	900.0	1.7	14.918	14.269	13.336	12.888	15.655	14.713	12.954	11.923	2.071	-0.101	-	0.632	
B8	B5	800.0	1.7	14.918	14.269	13.336	12.888	15.4	14.457	12.699	11.667	2.071	-0.101	-	0.632	
B8	B5	900.0	1.7	14.918	14.269	13.336	12.888	15.655	14.713	12.954	11.923	2.071	-0.101	-	0.632	
B5	B8	1000.0	1.7	14.918	14.269	13.336	12.888	15.884	14.941	13.183	12.152	2.071	-0.101	-	0.632	
B8	B5	1000.0	1.7	14.918	14.269	13.336	12.888	15.884	14.941	13.183	12.152	2.071	-0.101	-	0.632	
B8	B8	1100.0	1.5	14.918	14.269	13.336	12.888	16.029	15.18	13.519	12.562	1.993	-0.145	-	0.633	
A0	A0	700.0	1.2	14.918	14.269	13.336	12.888	14.649	14.006	12.526	11.699	1.821	-0.174	-	0.633	
A0	A0	1100.0	0.9	14.918	14.269	13.336	12.888	14.175	13.905	12.721	12.077	1.51	-0.143	-	0.633	
F0	G0	800.0	0.7	14.918	14.269	13.336	12.888	15.598	15.176	13.918	13.253	1.637	-0.257	-	0.633	
G0	F0	800.0	0.7	14.918	14.269	13.336	12.888	15.598	15.176	13.918	13.253	1.637	-0.257	-	0.633	
A0	M0	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.208	13.923	13.216	1.613	-0.149	-	0.634	
M0	A0	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.208	13.923	13.216	1.613	-0.149	-	0.634	
F0	F5	900.0	0.7	14.918	14.269	13.336	12.888	15.596	15.172	13.921	13.263	1.638	-0.272	-	0.635	
F5	F0	900.0	0.7	14.918	14.269	13.336	12.888	15.596	15.172	13.921	13.263	1.638	-0.272	-	0.635	
B8	G0	1000.0	1.0	14.918	14.269	13.336	12.888	14.144	13.915	12.733	12.077	1.475	-0.075	-	0.636	
G0	B8	1000.0	1.0	14.918	14.269	13.336	12.888	14.144	13.915	12.733	12.077	1.475	-0.075	-	0.636	
A0	M2	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.208	13.925	13.219	1.613	-0.151	-	0.636	
M2	A0	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.208	13.925	13.219	1.613	-0.151	-	0.636	
B5	A0	1000.0	1.7	14.918	14.269	13.336	12.888	16.041	15.105	13.347	12.314	2.065	-0.091	-	0.636	
A0	B5	1000.0	1.7	14.918	14.269	13.336	12.888	16.041	15.105	13.347	12.314	2.065	-0.091	-	0.636	
A0	M4	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.209	13.925	13.22	1.613	-0.151	-	0.636	
M4	A0	1200.0	1.0	14.918	14.269	13.336	12.888	15.602	15.209	13.925	13.22	1.613	-0.151	-	0.636	
B8	B8	700.0	1.6	14.918	14.269	13.336	12.888	15.532	14.555	12.798	11.78	2.1	-0.163	-	0.637	
B8	B8	800.0	1.6	14.918	14.269	13.336	12.888	15.822	14.845	13.088	12.07	2.1	-0.163	-	0.637	
B8	M4	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.215	12.198	2.1	-0.163	-	0.637	
M4	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.215	12.198	2.1	-0.163	-	0.637	
B8	M2	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.215	12.197	2.1	-0.163	-	0.637	
M2	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.215	12.197	2.1	-0.163	-	0.637	
B8	M0	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.214	12.195	2.1	-0.162	-	0.637	
M0	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.972	13.214	12.195	2.1	-0.162	-	0.637	
B8	K5	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.971	13.213	12.193	2.101	-0.161	-	0.638	
K5	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.95	14.971	13.213	12.193	2.101	-0.161	-	0.638	
F0	F0	1200.0	0.6	14.918	14.269	13.336	12.888	15.373	15.129	14.02	13.445	1.488	-0.252	-	0.639	
B5	F5	800.0	1.5	14.918	14.269	13.336	12.888	14.69	14.047	12.506	11.611	1.821	-0.045	-	0.639	
F5	B5	800.0	1.5	14.918	14.269	13.336	12.888	14.69	14.047	12.506	11.611	1.821	-0.045	-	0.639	
B8	K2	600.0	1.6	14.918	14.269	13.336	12.888	15.949	14.969	13.209	12.189	2.102	-0.161	-	0.639	
K2	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.949	14.969	13.209	12.189	2.102	-0.161	-	0.639	
B8	F0	800.0	1.5	14.918	14.269	13.336	12.888	16.048	15.174	13.49	12.52	2.014	-0.143	-	0.639	
F0	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.048	15.174	13.49	12.52	2.014	-0.143	-	0.639	
B8	B8	900.0	1.6	14.918	14.269	13.336	12.888	16.078	15.1	13.343	12.325	2.1	-0.163	-	0.64	
A0	A0	600.0	1.3	14.918	14.269	13.336	12.888	14.799	14.029	12.453	11.564	1.927	-0.189	-	0.642	
F0	K5	1000.0	0.5	14.918	14.269	13.336	12.888	15.238	15.104	14.082	13.556	1.396	-0.236	-	0.642	
K5	F0	1000.0	0.5	14.918	14.269	13.336	12.888	15.238	15.104	14.082	13.556	1.396	-0.236	-	0.642	
A0	M4	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.859	12.775	12.192	1.408	-0.137	-	0.645	
M4	A0	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.859	12.775	12.192	1.408	-0.137	-	0.645	
B8	G0	600.0	1.6	14.918	14.269	13.336	12.888	15.945	14.959	13.193	12.167	2.106	-0.157	-	0.645	
G0	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.945	14.959	13.193	12.167	2.106	-0.157	-	0.645	
A0	M2	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.859	12.774	12.191	1.408	-0.136	-	0.645	
M2	A0	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.859	12.774	12.191	1.408	-0.136	-	0.645	
A0	M0	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.858	12.772	12.188	1.408	-0.135	-	0.647	
M0	A0	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.858	12.772	12.188	1.408	-0.135	-	0.647	
B8	B8	1200.0	1.1	14.918	14.269	13.336	12.888	14.278	13.934	12.662	11.951	1.572	-0.09	-	0.647	
B5	B5	1300.0	1.4	14.918	14.269	13.336	12.888	14.511	14.002	12.567	11.739	1.709	-0.035	-	0.648	
F0	G0	600.0	0.5	14.918	14.269	13.336	12.888	14.003	13.825	12.767	12.223	1.434	-0.245	-	0.648	
G0	F0	600.0	0.5	14.918	14.269	13.336	12.888	14.003	13.825	12.767	12.223	1.434	-0.245	-	0.648	
A0	K5	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.857	12.769	12.183	1.409	-0.133	-	0.649	
K5	A0	900.0	0.8	14.918	14.269	13.336	12.888	14.006	13.857	12.769	12.183	1.409	-0.133	-	0.649	
A0	F0	800.0	1.3	14.918	14.269	13.336	12.888	16.069	15.261	13.655	12.749	1.958	-0.194	-	0.65	
F0	A0	800.0	1.3	14.918	14.269	13.336	12.888	16.069	15.261	13.655	12.749	1.958	-0.194	-	0.65	
B5	F0	800.0	1.5	14.918	14.269	13.336	12.888	14.683	14.036	12.492	11.594	1.825	-0.045	-	0.652	
F0	B5	800.0	1.5	14.918	14.269	13.336	12.888	14.683	14.036	12.492	11.594	1.825	-0.045	-	0.652	
B8	F5	600.0	1.6	14.918	14.269	13.336	12.888	15.932	14.937	13.163	12.134	2.114	-0.158	-	0.652	
F5	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.932	14.937	13.163	12.134	2.114	-0.158	-	0.652	
A0	A0	600.0	1.5	14.918	14.269	13.336	12.888	15.768	14.742	12.974	11.962	2.14	-0.224	-	0.653	
A0	A0	700.0	1.5	14.918	14.269	13.336	12.888	16.103	15.077	13.309	12.297	2.14	-0.224	-	0.653	
B8	F5	800.0	1.5	14.918	14.269	13.336	12.888	16.072	15.206	13.528	12.56	2.007	-0.139	-	0.653	
F5	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.072	15.206	13.528	12.56	2.007	-0.139	-	0.653	
A0	K2	900.0	0.8	14.918	14.269	13.336	12.888	14.004	13.852	12.762	12.175	1.411	-0.132	-	0.654	
K2	A0	900.0	0.8	14.918	14.269	13.336	12.888	14.004	13.852	12.762	12.175	1.411	-0.132	-	0.654	
A0	F0	1300.0	1.0	14.918	14.269	13.336	12.888	15.669	15.238	13.925	13.202	1.644	-0.155	-	0.656	
F0	A0	1300.0	1.0	14.918	14.269	13.336	12.888	15.669	15.238	13.925	13.202	1.644	-0.155	-	0.656	
A0	K2	900.0	1.2	14.918	14.269	13.336	12.888	15.945	15.297	13.812	12.98	1.825	-0.17	-	0.656	
K2	A0	900.0	1.2	14.918	14.269	13.336	12.888	15.945	15.297	13.812	12.98	1.825	-0.17	-	0.656	
B8	F0	1000.0	1.4	14.918	14.269	13.336	12.888	16.048	15.301	13.714	12.805	1.907	-0.126	-	0.656	
F0	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.048	15.301	13.714	12.805	1.907	-0.126	-	0.656	
F0	M0	1000.0	0.5	14.918	14.269	13.336	12.888	15.243	15.115	14.1	13.578	1.391	-0.239	-	0.656	
M0	F0	1000.0	0.5	14.918	14.269	13.336	12.888	15.243	15.115	14.1	13.578	1.391	-0.239	-	0.656	
B8	F0	600.0	1.6	14.918	14.269	13.336	12.888	15.908	14.905	13.126	12.094	2.121	-0.162	-	0.658	
F0	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.908	14.905	13.126	12.094	2.121	-0.162	-	0.658	
B5	M4	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.41	2.029	-0.084	-	0.659	
M4	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.41	2.029	-0.084	-	0.659	
B5	M2	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.41	2.029	-0.084	-	0.659	
M2	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.41	2.029	-0.084	-	0.659	
A0	F5	800.0	0.9	14.918	14.269	13.336	12.888	14.189	13.89	12.679	12.018	1.534	-0.138	-	0.659	
F5	A0	800.0	0.9	14.918	14.269	13.336	12.888	14.189	13.89	12.679	12.018	1.534	-0.138	-	0.659	
A0	F0	1300.0	0.6	14.918	14.269	13.336	12.888	13.727	13.784	12.872	12.393	1.237	-0.133	-	0.659	
F0	A0	1300.0	0.6	14.918	14.269	13.336	12.888	13.727	13.784	12.872	12.393	1.237	-0.133	-	0.659	
B5	M0	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.409	2.029	-0.084	-	0.659	
M0	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.148	12.423	11.409	2.029	-0.084	-	0.659	
B5	B8	1100.0	1.7	14.918	14.269	13.336	12.888	16.091	15.148	13.39	12.359	2.071	-0.101	-	0.659	
B8	B5	1100.0	1.7	14.918	14.269	13.336	12.888	16.091	15.148	13.39	12.359	2.071	-0.101	-	0.659	
B5	K5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.147	12.422	11.409	2.029	-0.083	-	0.659	
K5	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.147	12.422	11.409	2.029	-0.083	-	0.659	
B8	F5	1000.0	1.0	14.918	14.269	13.336	12.888	14.131	13.894	12.704	12.043	1.482	-0.075	-	0.66	
F5	B8	1000.0	1.0	14.918	14.269	13.336	12.888	14.131	13.894	12.704	12.043	1.482	-0.075	-	0.66	
B5	K2	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.147	12.421	11.407	2.029	-0.083	-	0.66	
K2	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.04	14.147	12.421	11.407	2.029	-0.083	-	0.66	
B8	G0	800.0	1.5	14.918	14.269	13.336	12.888	16.085	15.228	13.557	12.593	1.999	-0.139	-	0.66	
G0	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.085	15.228	13.557	12.593	1.999	-0.139	-	0.66	
A0	K5	900.0	1.2	14.918	14.269	13.336	12.888	15.946	15.301	13.819	12.989	1.823	-0.171	-	0.661	
K5	A0	900.0	1.2	14.918	14.269	13.336	12.888	15.946	15.301	13.819	12.989	1.823	-0.171	-	0.661	
B8	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.198	14.22	12.463	11.445	2.1	-0.163	-	0.661	
B5	F0	1200.0	1.6	14.918	14.269	13.336	12.888	16.049	15.273	13.633	12.674	1.931	-0.062	-	0.662	
F0	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.049	15.273	13.633	12.674	1.931	-0.062	-	0.662	
B8	K2	800.0	1.5	14.918	14.269	13.336	12.888	16.089	15.238	13.574	12.615	1.994	-0.142	-	0.663	
K2	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.089	15.238	13.574	12.615	1.994	-0.142	-	0.663	
B8	M4	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.58	12.623	1.993	-0.145	-	0.663	
M4	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.58	12.623	1.993	-0.145	-	0.663	
B8	K5	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.24	13.577	12.619	1.993	-0.143	-	0.663	
K5	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.24	13.577	12.619	1.993	-0.143	-	0.663	
B8	M2	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.579	12.623	1.993	-0.145	-	0.663	
M2	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.579	12.623	1.993	-0.145	-	0.663	
F0	G0	600.0	0.9	14.918	14.269	13.336	12.888	15.943	15.272	13.818	13.031	1.844	-0.277	-	0.663	
G0	F0	600.0	0.9	14.918	14.269	13.336	12.888	15.943	15.272	13.818	13.031	1.844	-0.277	-	0.663	
B8	M0	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.579	12.621	1.993	-0.144	-	0.663	
M0	B8	800.0	1.5	14.918	14.269	13.336	12.888	16.09	15.241	13.579	12.621	1.993	-0.144	-	0.663	
A0	M0	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.303	13.822	12.993	1.822	-0.172	-	0.664	
M0	A0	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.303	13.822	12.993	1.822	-0.172	-	0.664	
F0	M2	1000.0	0.5	14.918	14.269	13.336	12.888	15.244	15.12	14.11	13.593	1.388	-0.245	-	0.664	
M2	F0	1000.0	0.5	14.918	14.269	13.336	12.888	15.244	15.12	14.11	13.593	1.388	-0.245	-	0.664	
B5	G0	600.0	1.7	14.918	14.269	13.336	12.888	15.039	14.143	12.414	11.398	2.031	-0.081	-	0.665	
G0	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.039	14.143	12.414	11.398	2.031	-0.081	-	0.665	
A0	M2	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.304	13.824	12.996	1.821	-0.174	-	0.665	
M2	A0	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.304	13.824	12.996	1.821	-0.174	-	0.665	
A0	M4	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.304	13.824	12.997	1.821	-0.174	-	0.665	
M4	A0	900.0	1.2	14.918	14.269	13.336	12.888	15.947	15.304	13.824	12.997	1.821	-0.174	-	0.665	
B5	F5	1200.0	1.6	14.918	14.269	13.336	12.888	16.055	15.285	13.648	12.691	1.927	-0.061	-	0.666	
F5	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.055	15.285	13.648	12.691	1.927	-0.061	-	0.666	
F0	M4	1000.0	0.5	14.918	14.269	13.336	12.888	15.245	15.121	14.113	13.597	1.388	-0.247	-	0.666	
M4	F0	1000.0	0.5	14.918	14.269	13.336	12.888	15.245	15.121	14.113	13.597	1.388	-0.247	-	0.666	
B5	G0	1200.0	1.6	14.918	14.269	13.336	12.888	16.059	15.292	13.659	12.705	1.924	-0.063	-	0.668	
G0	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.059	15.292	13.659	12.705	1.924	-0.063	-	0.668	
F0	G0	1100.0	0.5	14.918	14.269	13.336	12.888	15.319	15.141	14.083	13.539	1.434	-0.245	-	0.668	
G0	F0	1100.0	0.5	14.918	14.269	13.336	12.888	15.319	15.141	14.083	13.539	1.434	-0.245	-	0.668	
B5	K2	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.296	13.665	12.713	1.922	-0.065	-	0.668	
K2	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.296	13.665	12.713	1.922	-0.065	-	0.668	
B5	M4	1200.0	1.6	14.918	14.269	13.336	12.888	16.061	15.297	13.668	12.717	1.922	-0.066	-	0.668	
M4	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.061	15.297	13.668	12.717	1.922	-0.066	-	0.668	
B5	M2	1200.0	1.6	14.918	14.269	13.336	12.888	16.061	15.297	13.668	12.717	1.922	-0.066	-	0.668	
M2	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.061	15.297	13.668	12.717	1.922	-0.066	-	0.668	
B5	M0	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.297	13.667	12.716	1.922	-0.066	-	0.668	
M0	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.297	13.667	12.716	1.922	-0.066	-	0.668	
B5	K5	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.296	13.667	12.715	1.922	-0.065	-	0.668	
K5	B5	1200.0	1.6	14.918	14.269	13.336	12.888	16.06	15.296	13.667	12.715	1.922	-0.065	-	0.668	
B8	F5	1000.0	1.4	14.918	14.269	13.336	12.888	16.072	15.334	13.751	12.845	1.9	-0.122	-	0.669	
F5	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.072	15.334	13.751	12.845	1.9	-0.122	-	0.669	
A0	A0	800.0	1.1	14.918	14.269	13.336	12.888	14.454	13.936	12.554	11.788	1.716	-0.162	-	0.67	
F0	F0	900.0	0.8	14.918	14.269	13.336	12.888	15.718	15.229	13.921	13.224	1.693	-0.266	-	0.671	
F0	G0	700.0	0.8	14.918	14.269	13.336	12.888	15.793	15.247	13.891	13.165	1.74	-0.266	-	0.671	
G0	F0	700.0	0.8	14.918	14.269	13.336	12.888	15.793	15.247	13.891	13.165	1.74	-0.266	-	0.671	
B8	A0	600.0	1.6	14.918	14.269	13.336	12.888	15.602	14.572	12.781	11.745	2.143	-0.182	-	0.671	
B8	A0	700.0	1.6	14.918	14.269	13.336	12.888	15.936	14.907	13.116	12.08	2.143	-0.182	-	0.671	
A0	B8	600.0	1.6	14.918	14.269	13.336	12.888	15.602	14.572	12.781	11.745	2.143	-0.182	-	0.671	
A0	B8	700.0	1.6	14.918	14.269	13.336	12.888	15.936	14.907	13.116	12.08	2.143	-0.182	-	0.671	
B5	F5	600.0	1.7	14.918	14.269	13.336	12.888	15.035	14.136	12.403	11.384	2.035	-0.08	-	0.672	
F5	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.035	14.136	12.403	11.384	2.035	-0.08	-	0.672	
B8	G0	1000.0	1.4	14.918	14.269	13.336	12.888	16.084	15.355	13.781	12.879	1.893	-0.122	-	0.677	
G0	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.084	15.355	13.781	12.879	1.893	-0.122	-	0.677	
A0	A0	1100.0	1.3	14.918	14.269	13.336	12.888	16.115	15.345	13.769	12.88	1.927	-0.189	-	0.679	
A0	M4	1200.0	0.6	14.918	14.269	13.336	12.888	13.66	13.754	12.872	12.41	1.207	-0.131	-	0.679	
M4	A0	1200.0	0.6	14.918	14.269	13.336	12.888	13.66	13.754	12.872	12.41	1.207	-0.131	-	0.679	
A0	M2	1200.0	0.6	14.918	14.269	13.336	12.888	13.66	13.754	12.871	12.41	1.207	-0.13	-	0.679	
M2	A0	1200.0	0.6	14.918	14.269	13.336	12.888	13.66	13.754	12.871	12.41	1.207	-0.13	-	0.679	
A0	M0	1200.0	0.6	14.918	14.269	13.336	12.888	13.659	13.753	12.87	12.407	1.207	-0.129	-	0.681	
M0	A0	1200.0	0.6	14.918	14.269	13.336	12.888	13.659	13.753	12.87	12.407	1.207	-0.129	-	0.681	
B5	F0	600.0	1.7	14.918	14.269	13.336	12.888	15.029	14.124	12.388	11.367	2.038	-0.08	-	0.681	
F0	B5	600.0	1.7	14.918	14.269	13.336	12.888	15.029	14.124	12.388	11.367	2.038	-0.08	-	0.681	
A0	G0	900.0	0.8	14.918	14.269	13.336	12.888	13.992	13.83	12.73	12.135	1.42	-0.128	-	0.681	
G0	A0	900.0	0.8	14.918	14.269	13.336	12.888	13.992	13.83	12.73	12.135	1.42	-0.128	-	0.681	
A0	F5	800.0	1.3	14.918	14.269	13.336	12.888	16.128	15.329	13.727	12.821	1.951	-0.186	-	0.682	
F5	A0	800.0	1.3	14.918	14.269	13.336	12.888	16.128	15.329	13.727	12.821	1.951	-0.186	-	0.682	
A0	K5	1200.0	0.6	14.918	14.269	13.336	12.888	13.659	13.751	12.867	12.402	1.208	-0.128	-	0.683	
K5	A0	1200.0	0.6	14.918	14.269	13.336	12.888	13.659	13.751	12.867	12.402	1.208	-0.128	-	0.683	
B5	B8	700.0	1.7	14.918	14.269	13.336	12.888	15.11	14.167	12.409	11.377	2.071	-0.101	-	0.683	
B8	B5	700.0	1.7	14.918	14.269	13.336	12.888	15.11	14.167	12.409	11.377	2.071	-0.101	-	0.683	
B8	F0	1200.0	1.3	14.918	14.269	13.336	12.888	15.959	15.339	13.849	13.001	1.802	-0.111	-	0.684	
F0	B8	1200.0	1.3	14.918	14.269	13.336	12.888	15.959	15.339	13.849	13.001	1.802	-0.111	-	0.684	
B5	B5	1100.0	1.5	14.918	14.269	13.336	12.888	14.634	13.998	12.465	11.576	1.815	-0.05	-	0.684	
B8	K2	1000.0	1.4	14.918	14.269	13.336	12.888	16.089	15.365	13.797	12.9	1.888	-0.125	-	0.685	
K2	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.089	15.365	13.797	12.9	1.888	-0.125	-	0.685	
A0	A0	900.0	1.4	14.918	14.269	13.336	12.888	16.164	15.267	13.594	12.644	2.033	-0.205	-	0.687	
A0	F5	1100.0	1.1	14.918	14.269	13.336	12.888	15.85	15.304	13.895	13.112	1.741	-0.158	-	0.688	
F5	A0	1100.0	1.1	14.918	14.269	13.336	12.888	15.85	15.304	13.895	13.112	1.741	-0.158	-	0.688	
B8	K5	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.367	13.801	12.904	1.887	-0.126	-	0.688	
K5	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.367	13.801	12.904	1.887	-0.126	-	0.688	
A0	K2	1200.0	0.6	14.918	14.269	13.336	12.888	13.657	13.747	12.86	12.394	1.21	-0.126	-	0.688	
K2	A0	1200.0	0.6	14.918	14.269	13.336	12.888	13.657	13.747	12.86	12.394	1.21	-0.126	-	0.688	
A0	F0	700.0	1.0	14.918	14.269	13.336	12.888	14.325	13.894	12.58	11.858	1.644	-0.155	-	0.689	
F0	A0	700.0	1.0	14.918	14.269	13.336	12.888	14.325	13.894	12.58	11.858	1.644	-0.155	-	0.689	
B8	M0	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.368	13.802	12.907	1.887	-0.127	-	0.689	
M0	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.368	13.802	12.907	1.887	-0.127	-	0.689	
B5	F0	1000.0	1.7	14.918	14.269	13.336	12.888	16.138	15.234	13.497	12.476	2.038	-0.08	-	0.689	
F0	B5	1000.0	1.7	14.918	14.269	13.336	12.888	16.138	15.234	13.497	12.476	2.038	-0.08	-	0.689	
B8	M2	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.368	13.803	12.908	1.886	-0.128	-	0.69	
M2	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.368	13.803	12.908	1.886	-0.128	-	0.69	
B8	M4	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.369	13.803	12.909	1.886	-0.128	-	0.69	
M4	B8	1000.0	1.4	14.918	14.269	13.336	12.888	16.09	15.369	13.803	12.909	1.886	-0.128	-	0.69	
B5	B8	900.0	1.5	14.918	14.269	13.336	12.888	14.686	14.0	12.433	11.525	1.857	-0.065	-	0.692	
B8	B5	900.0	1.5	14.918	14.269	13.336	12.888	14.686	14.0	12.433	11.525	1.857	-0.065	-	0.692	
A0	F0	1100.0	0.7	14.918	14.269	13.336	12.888	13.85	13.787	12.773	12.233	1.337	-0.135	-	0.692	
F0	A0	1100.0	0.7	14.918	14.269	13.336	12.888	13.85	13.787	12.773	12.233	1.337	-0.135	-	0.692	
B8	F0	1000.0	1.0	14.918	14.269	13.336	12.888	14.107	13.862	12.667	12.003	1.489	-0.079	-	0.693	
F0	B8	1000.0	1.0	14.918	14.269	13.336	12.888	14.107	13.862	12.667	12.003	1.489	-0.079	-	0.693	
B5	B5	900.0	1.8	14.918	14.269	13.336	12.888	15.653	14.631	12.811	11.736	2.137	-0.104	-	0.693	
B5	B5	1000.0	1.8	14.918	14.269	13.336	12.888	15.882	14.86	13.04	11.965	2.137	-0.104	-	0.693	
B5	B5	1100.0	1.8	14.918	14.269	13.336	12.888	16.089	15.067	13.247	12.172	2.137	-0.104	-	0.693	
B5	B5	800.0	1.8	14.918	14.269	13.336	12.888	15.397	14.375	12.555	11.481	2.137	-0.104	-	0.693	
B5	M4	600.0	1.8	14.918	14.269	13.336	12.888	15.525	14.503	12.683	11.608	2.137	-0.104	-	0.693	
B5	M4	700.0	1.8	14.918	14.269	13.336	12.888	15.86	14.838	13.018	11.943	2.137	-0.104	-	0.693	
B5	M4	800.0	1.8	14.918	14.269	13.336	12.888	16.15	15.128	13.308	12.233	2.137	-0.104	-	0.693	
M4	B5	600.0	1.8	14.918	14.269	13.336	12.888	15.525	14.503	12.683	11.608	2.137	-0.104	-	0.693	
M4	B5	700.0	1.8	14.918	14.269	13.336	12.888	15.86	14.838	13.018	11.943	2.137	-0.104	-	0.693	
M4	B5	800.0	1.8	14.918	14.269	13.336	12.888	16.15	15.128	13.308	12.233	2.137	-0.104	-	0.693	
B5	F5	1000.0	1.7	14.918	14.269	13.336	12.888	16.144	15.245	13.512	12.493	2.035	-0.08	-	0.693	
F5	B5	1000.0	1.7	14.918	14.269	13.336	12.888	16.144	15.245	13.512	12.493	2.035	-0.08	-	0.693	
B5	M2	600.0	1.8	14.918	14.269	13.336	12.888	15.525	14.503	12.683	11.608	2.137	-0.104	-	0.693	
