wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
M0	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.631	14.483	13.397	12.812	1.408	-0.135	-	0.159	
A0	K5	1200.0	0.8	14.918	14.269	13.336	12.888	14.63	14.481	13.394	12.808	1.409	-0.133	-	0.159	
K5	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.63	14.481	13.394	12.808	1.409	-0.133	-	0.159	
F0	G0	600.0	0.7	14.918	14.269	13.336	12.888	14.973	14.551	13.293	12.628	1.637	-0.257	-	0.16	
G0	F0	600.0	0.7	14.918	14.269	13.336	12.888	14.973	14.551	13.293	12.628	1.637	-0.257	-	0.16	
F0	K5	700.0	0.5	14.918	14.269	13.336	12.888	14.463	14.33	13.308	12.782	1.396	-0.236	-	0.163	
K5	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.463	14.33	13.308	12.782	1.396	-0.236	-	0.163	
B8	M4	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
M4	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
B8	M2	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
M2	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.325	12.676	1.469	-0.082	-	0.163	
B8	M0	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.324	12.674	1.469	-0.081	-	0.163	
M0	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.719	14.498	13.324	12.674	1.469	-0.081	-	0.163	
B8	K5	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.497	13.323	12.672	1.47	-0.08	-	0.164	
K5	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.497	13.323	12.672	1.47	-0.08	-	0.164	
F5	G0	600.0	0.5	14.918	14.269	13.336	12.888	14.762	14.402	13.228	12.628	1.584	-0.319	-	0.164	
G0	F5	600.0	0.5	14.918	14.269	13.336	12.888	14.762	14.402	13.228	12.628	1.584	-0.319	-	0.164	
F0	K2	700.0	0.6	14.918	14.269	13.336	12.888	14.931	14.665	13.533	12.942	1.506	-0.241	-	0.165	
K2	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.931	14.665	13.533	12.942	1.506	-0.241	-	0.165	
B8	K2	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.495	13.319	12.667	1.471	-0.079	-	0.166	
K2	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.718	14.495	13.319	12.667	1.471	-0.079	-	0.166	
F0	M4	600.0	0.6	14.918	14.269	13.336	12.888	14.621	14.376	13.267	12.691	1.489	-0.251	-	0.168	
M4	F0	600.0	0.6	14.918	14.269	13.336	12.888	14.621	14.376	13.267	12.691	1.489	-0.251	-	0.168	
F0	M2	600.0	0.6	14.918	14.269	13.336	12.888	14.62	14.375	13.264	12.687	1.489	-0.249	-	0.169	
M2	F0	600.0	0.6	14.918	14.269	13.336	12.888	14.62	14.375	13.264	12.687	1.489	-0.249	-	0.169	
B8	G0	1300.0	1.0	14.918	14.269	13.336	12.888	14.713	14.485	13.303	12.646	1.475	-0.075	-	0.174	
G0	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.713	14.485	13.303	12.646	1.475	-0.075	-	0.174	
F0	M0	600.0	0.6	14.918	14.269	13.336	12.888	14.619	14.37	13.254	12.672	1.492	-0.243	-	0.175	
M0	F0	600.0	0.6	14.918	14.269	13.336	12.888	14.619	14.37	13.254	12.672	1.492	-0.243	-	0.175	
F0	F5	700.0	0.7	14.918	14.269	13.336	12.888	15.05	14.626	13.376	12.717	1.638	-0.272	-	0.175	
F5	F0	700.0	0.7	14.918	14.269	13.336	12.888	15.05	14.626	13.376	12.717	1.638	-0.272	-	0.175	
A0	M4	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.584	13.3	12.595	1.613	-0.151	-	0.176	
M4	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.584	13.3	12.595	1.613	-0.151	-	0.176	
A0	M2	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.584	13.3	12.594	1.613	-0.151	-	0.176	
M2	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.584	13.3	12.594	1.613	-0.151	-	0.176	
A0	F5	1200.0	0.8	14.918	14.269	13.336	12.888	14.584	14.408	13.297	12.697	1.431	-0.132	-	0.176	
F5	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.584	14.408	13.297	12.697	1.431	-0.132	-	0.176	
A0	M0	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.583	13.298	12.591	1.613	-0.149	-	0.177	
M0	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.977	14.583	13.298	12.591	1.613	-0.149	-	0.177	
A0	K5	900.0	1.0	14.918	14.269	13.336	12.888	14.976	14.581	13.295	12.587	1.614	-0.148	-	0.178	
K5	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.976	14.581	13.295	12.587	1.614	-0.148	-	0.178	
A0	M4	1000.0	0.9	14.918	14.269	13.336	12.888	14.721	14.451	13.267	12.622	1.51	-0.143	-	0.179	
M4	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.721	14.451	13.267	12.622	1.51	-0.143	-	0.179	
A0	M2	1000.0	0.9	14.918	14.269	13.336	12.888	14.721	14.451	13.266	12.622	1.51	-0.142	-	0.179	
M2	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.721	14.451	13.266	12.622	1.51	-0.142	-	0.179	
A0	M0	1000.0	0.9	14.918	14.269	13.336	12.888	14.72	14.45	13.264	12.619	1.51	-0.141	-	0.18	
M0	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.72	14.45	13.264	12.619	1.51	-0.141	-	0.18	
